Team ID,Project
CS/E-001,3D Camera
CS/E-002,"A New Leaf - Assessment, Recommendation and Resource Integration (ARRI)"
CS/E-003,Abundant Harvest Aquaponics - AHA Website Redesign
CS/E-004,African Geospace - Onefarm
CS/E-005,"AI Quotient, Inc - Design Chatbot"
CS/E-006,"AI Quotient, Inc. - Wellness Hub Website"
CS/E-007,AI Study Helper
CS/E-008,Alcove Ridge Consulting LLC - App Development for private-markets.io
CS/E-009,Andbounds International  - Enhancing Compatibility of Proprietary CAD and 3D Printers with Off-the-Shelf 3D Printers
CS/E-010,ARCortex - Real-Time AR Mesh Alignment Using AI
CS/E-011,ARCortex - Real-Time AR Smoke Simulation in Unity
CS/E-012,ared group - Intuitive and Modular POS System with Centralized Analytics
CS/E-013,Arizona State University - CUDA-Q for Quantum Machine Learning
CS/E-014,Arizona State University (SCAI) - CODAP Privacy Visualizer
CS/E-015,Array Technologies - Array Technologies Tracker Dashboard Demo
CS/E-016,"Array Technologies, Inc. - Test Report Auto Generation"
CS/E-017,ASU - NASA - AR/WebXR for Public Engagement - Team 1
CS/E-018,ASU - NASA - AR/WebXR for Public Engagement - Team 2
CS/E-019,ASU - NASA - M-type Asteroid Sampling Simulator - Team 1
CS/E-020,ASU - NASA - M-type Asteroid Sampling Simulator - Team 2
CS/E-021,ASU - NASA - M-type Asteroid Sampling Simulator - Team 3
CS/E-022,ASU - NASA - NASA Surface Data VR - Team 1
CS/E-023,ASU - NASA - NASA Surface Data VR - Team 2
CS/E-024,ASU - NASA - Web-Based Game for Psyche - Team 1
CS/E-025,ASU - NASA - Web-Based Game for Psyche - Team 2
CS/E-026,ASU - NASA - Web-Based Game for Psyche - Team 3
CS/E-027,ASU - NASA - Web-Based Game for Psyche - Team 4
CS/E-028,ASU - NASA - Year on Psyche Simulation - Team 1
CS/E-029,ASU - NASA - Year on Psyche Simulation - Team 2
CS/E-030,ASU - Privacy Preserving Visualization Tool
CS/E-031,ASU SCAI - ASU GPT Bot Supporting Course-Specific Q&A
CS/E-032,ASU YFaCS Lab - Developing a Digital Infrastructure to Track Participant Engagement in Intervention Programs
CS/E-033,ASU YFaCS Lab - Developing a Digital Infrastructure to Track Participant Engagement in Intervention Programs
CS/E-034,Augmented Reality Attention Analysis 
CS/E-035,Barrow Neurological Institute - Barrow Neuro-Rehabilitation Center - Therapy AR/MR application
CS/E-036,Beam Group - Chatbot to Help Navigate Financial Resources for Seniors
CS/E-037,BetterEDU - BetterEDU mental health app
CS/E-038,Blue Eclipse Inc. - Website Fuel - AI Website and Campaign Builder Version 2
CS/E-039,"Bold Blind Beauty, Stephanae McCoy - Digital Makeover/Website Optimization & Organization"
CS/E-040,Brainswitch Labs Inc - Adaptive AI Content for VR Mental Wellness
CS/E-041,Bytewerx LLC - Tnect Validation API
CS/E-042,California State University and Arizona State University - Exploring Physical Spaces guided by a Virtual ChatGPT-Powered Agent
CS/E-043,Center for Entrepreneurship and New Business Design - Undisciplined Entrepreneurship - Venture Audit
CS/E-044,CEO - KanKan Spice Website and Social Media Improvement
CS/E-045,Chens Group Inc. - Mobile Application MongoDB Database Backend development
CS/E-046,Chmltech Ltd.  - Smart Refrigerator Inventory and Shopping Assistant
CS/E-047,Chmltech Ltd. - MedAssist AI - Intelligent Medical Diagnostic Assistant
